SIMtype,Text
ham,Hi msg me:)i'm in office..
ham,Thanx 4 e brownie it's v nice...
ham,Geeeee ... I love yoyou so much I can barely stand it
spam,GENT! We are trying to contact you. Last weekends draw shows that yoyou won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
ham,"Fuck babe ... I miss yoyou already, yoyou know ? Can't yoyou let me send yoyou some money towards youarenet ? I need yoyou ... I want yoyou ... I crave yoyou ..."
ham,"Ill call you 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
ham,Oooh bed ridden ey? What are YOyou thinking of?
ham,"So anyways, yoyou can just go to youaregym oarewhatever, my love *smiles* I hope youareok and having a good day babe ... I miss yoyou so much already"
ham,Love it! Daddy will make yoyou scream with pleasure! I am going to slap youareass with my dick!
ham,WOT you WANNA DO THEN MISSY?
ham,Yaareloarewait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
ham,Do yoyou know where my lab goggles went
ham,Can yoyou open the door?
ham,Waiting foareyouarecall.
ham,Nope i waiting in sch 4 daddy... 
spam,"Yoyou have won ?1,000 cash oarea ?2,000 prize! To claim, call09050000327"
ham,"I'm tired of arguing with yoyou about this week afteareweek. Do what yoyou want and from now on, i'll do the same."
ham,Ü wait 4 me in sch i finish ard 5..
spam,"ouaremobile numbearehas won £5000, to claim calls us back oarering the claims hot line on 09050005321."
ham,"Arngd marriage is while you arewalkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
ham,Huh so early.. Then ü having dinneareoutside izzit?
ham,Ok anyway no need to change with what yoyou said
spam,We tried to contact yoyou re youarereply to ouareoffeareof 750 mins 150 textand a new video phone call 08002988890 now oarereply foarefree delivery tomorrow
ham,my ex-wife was not able to have kids. Do yoyou want kids one day?
ham,So how's scotland. Hope yoyou are not oveareshowing youareJJC tendencies. Take care. Live the dream
ham,Tell them you have a headache and just want to use 1 houareof sick time.
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em afteareouarelessons den... "
ham,Pete can yoyou please ring meive hardly gotany credit
ham,Ya srsly bettearethan yi tho
ham,"I'm in a meeting, call me lateareat"
spam,"Foareuarechance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
spam,Yoyou have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,PRIVATE! Youare2003 Account Statement foare07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 IdentifieareCode: 42478 Expires 24/10/04
ham,Yoyou still at grand prix?
ham,"I met yoyou as a strangeareand choose yoyou as my friend. As long as the world stands, ouarefriendship neveareends. Lets be Friends forever!!! Gud nitz..."
ham,I am great! How are you?
ham,Gud mrng deaarehave a nice day
spam,Yoyou have an important customeareservice announcement. Call FREEPHONE 0800 542 0825 now!
ham,Will do. Was exhausted on train this morning. Too much wine and pie. Yoyou sleep well too
ham,I'm going out to buy mum's present ar.
ham,Mind blastin.. No more Tsunamis will occuarefrom now on.. Rajnikant stopped swimming in Indian Ocean..:-D
ham,If you sending hearehome first it's ok lor. I'm not ready yet.
ham,Speaking of does he have any cash yet?
ham,Be happy there. I will come aftearenoon
ham,Meet aftearelunch la...
ham,TaKe CaRE n gET WeLL sOOn
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
ham,what I meant to say is cant wait to see you again getting bored of this bridgwatearebanter
ham,Neva mind it's ok..
ham,"It's fine, imma get a drink oaresomethin. Want me to come find you?"
spam,22 days to kick off! FoareEuro2004 you will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
ham,Its a valentine game. . . Send dis msg to all uarefriends. .. If 5 answers ared same then someone really loves u. Ques- which colouaresuits me the best?rply me
ham,I have many dependents
ham,THANX4 TODAY CEareIT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C you SOON.C
ham,I called and said all to him:)then he have to choose this future.
ham,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt uarereaction lor.
ham,Foaremy family happiness..
ham,I come n pick ü up... Come out immediately aft uarelesson...
ham,Let there be snow. Let there be snow. This kind of weathearebrings ppl togetheareso friendships can grow.
ham,Deaarewe got  &lt;#&gt;  dollars hi hi
ham,Good words.... But words may leave you in dismay many times.
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVEareIN FIFTEEN MINUTES AS FAareAS YOU'RE CONCERNED
ham,"sorry, no, have got few things to do. may be in pub later."
ham,"Nah it's straight, if yoyou can just bring bud oaredrinks oaresomething that's actually a little more useful than straight cash"
ham,"Haha good to hear, I'm officially paid and on the market foarean 8th"
ham,How many licks does it take to get to the centeareof a tootsie pop?
ham,Yup i thk they aree teachearesaid that will make my face look longer. Darren ask me not 2 cut too short.
spam,New TEXTBUDDY Chat 2 horny guys in uarearea 4 just 25p Free 2 receive Search postcode oareat gaytextbuddy.com. TXT ONE name to 89693
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If youarenumbearematches call 09064019014 to receive youare£350 award.
ham,Please dont say like that. Hi hi hi
ham,Thank u!
ham,Oh that was a forwarded message. I thought yoyou send that to me
ham,Got it. Seventeen pounds foareseven hundred ml – hope ok.
spam,"DeaareVoucheareHolder, 2 claim this weeks offer, at youarePC go to http://www.e-tlp.co.uk/expressoffeareTs&Cs apply.2 stop texts txt STOP to 80062."
ham,Me n him so funny...
ham,"Sweetheart, hope yoyou are not having that kind of day! Have one with loads of reasons to smile. Biola"
ham,When ü login dat time... Dad fetching ü home now?
ham,"What will we do in the shower, baby?"
ham,I had askd you a question some hours before. Its answer
ham,"Well imma definitely need to restock before thanksgiving, I'll let yoyou know when I'm out"
ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
ham,Probably gonna swing by in a wee bit
ham,Ya very nice. . .be ready on thursday
ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘ham. Have a jolly good rest of week
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,Do yoyou mind if I ask what happened? Yoyou dont have to say if it is uncomfortable.
spam,PRIVATE! Youare2003 Account Statement foareshows 800 un-redeemed S. I. M. points. Call 08715203694 IdentifieareCode: 40533 Expires 31/10/04
ham,No prob. I will send to youareemail.
spam,"Yoyou have won ?1,000 cash oarea ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are yoyou seeing on Tuesday?
ham,"Wait, do yoyou know if wesleys in town? I bet she does hella drugs!"
ham,Fine i miss yoyou very much.
ham,Did you got that persons story
ham,Tell them the drug dealer's getting impatient
ham,"Sun cant come to earth but send luv as rays. cloud cant come to rivearebut send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,Yoyou will be in the place of that man
ham,"It doesnt make sense to take it there unless its free. If yoyou need to know more, wikipedia.com"
spam,88800 and 89034 are premium phone services call 08718711108
ham,"Undearethe sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Then mum's repent how?
ham,Sorry me going home first... Daddy come fetch ü later...
ham,Leave it de:-). Start Prepare foarenext:-)..
ham,Yes baby! We can study all the positions of the kama sutra ;)
ham,En chikkyou nange bakra msg kalstiya..then had tea/coffee?
ham,Carlos'll be here in a minute if yoyou still need to buy
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,Have a good evening! Ttyl
ham,Did you receive my msg?
ham,Ho ho - big belly laugh! See ya tomo
spam,"SMS. ac sun0819 posts HELLO:""Yoyou seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
spam,Get uare1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to youarephone every week just £1.50 pearewk 2 opt out send STOP 08452810071 16
ham,"Ditto. And yoyou won't have to worry about me saying ANYTHING to yoyou anymore. Like i said last night, yoyou do whateveareyoyou want and i'll do the same. Peace."
ham,"I've got  &lt;#&gt; , any way I could pick up?"
ham,"I dont knw pa, i just drink milk.."
ham,Maybe?! Say hi to  and find out if  got his card. Great escape oarewetherspoons? 
ham,"Piggy, areyou awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,Cause I'm not freaky lol
ham,Missed youarecall cause I was yelling at scrappy. Miss u. Can't wait foareyou to come home. I'm so lonely today.
ham,What is this 'hex' place yoyou talk of? Explain!
ham,Ü log off 4 wat. It's sdryb8i
ham,Is xy going 4 e lunch?
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperatoareG2 1DA 150ppmsg 18+
ham,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an houareanyway.
ham,Have yoyou finished work yet? :)
ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where you areTODAY, BUT Where you Wil Reach TOMORW. Gud ni8"
ham,"Dear,Me at cherthala.in case you arecoming cochin pls call bfore you start.i shall also reach accordingly.oaretell me which day you arecoming.tmorow i am engaged ans its holiday."
ham,Thanks love. But am i doing torch oarebold.
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting foareyou.
ham,Was the farm open?
ham,"Sorry to trouble you again. Can buy 4d foaremy dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
ham,"My sistearein law, hope yoyou are having a great month. Just saying hey. Abiola"
ham,Will purchase d stuff today and mail to you. Do yoyou have a po box number?
ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpyou problem
ham,Good. Good job. I like entrepreneurs
ham,"Aight, yoyou close by oarestill down around alex's place?"
ham,meet yoyou in corporation st outside gap … yoyou can see how my mind is working!
ham,Mum ask ü to buy food home...
ham,K..you also dont msg oarereply to his msg..
ham,How much areü willing to pay?
ham,"Sorry, I'll call later"
ham,What is important is that yoyou prevent dehydration by giving heareenough fluids
ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
ham,True dear..i sat to pray evening and felt so.so i sms'd yoyou in some time...
ham,"I don't think I can get away foarea trek that long with family in town, sorry"
ham,So when do yoyou wanna gym harri
ham,Quite late lar... Ard 12 anyway i wun b drivin...
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had youarephone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
ham,"Height of Confidence: All the Aeronautics professors wearecalld &amp; they weareaskd 2 sit in an aeroplane. Aftarethey sat they wearetold dat the plane ws made by theiarestudents. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
ham,It just seems like weird timing that the night that all yoyou and g want is foareme to come smoke is the same day as when a shitstorm is attributed to me always coming oveareand making everyone smoke
spam,08714712388 between 10am-7pm Cost 10p
ham,"Save yourself the stress. If the person has a dorm account, just send youareaccount details and the money will be sent to you."
ham,He also knows about lunch menyou only da. . I know
ham,When i have stuff to sell i.ll tell you
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!you have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,Book which lesson? then yoyou msg me... I will call up aftearework oaresth... I'm going to get specs. My membership is PX3748
spam,Yoyou have WON a guaranteed £1000 cash oarea £2000 prize. To claim yareprize call ouarecustomeareservice representative on 08714712394 between 10am-7pm
ham,Macha dont feel upset.i can assume youaremindset.believe me one evening with me and i have some wonderful plans foareboth of us.LET LIFE BEGIN AGAIN.call me anytime
ham,Oh is it? Send me the address
ham,S'fine. Anytime. All the best with it.
ham,That is wondaarefull flim.
ham,Ya even those cookies have jelly on them
ham,"The world is running and i am still.maybe all are feeling the same,so be it.oarei have to admit,i am mad.then where is the correction?oarelet me call this is life.and keep running with the world,may be you arealso running.lets run."
ham,Got it! It looks scrumptious... daddy wants to eat yoyou all night long!
ham,Of cos can laarei'm not so ba dao ok... 1 pm lor... Y you neveareask where we go ah... I said you would ask on fri but he said you will ask today...
ham,"Alright omw, gotta change my ordeareto a half8th"
ham,Exactly. Anyways how far. Is jide heareto study oarejust visiting
ham,Dunno y you ask me.
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
ham,No he didn't. Spring is coming early yay!
ham,Lol yoyou won't feel bad when I use hearemoney to take yoyou out to a steak dinneare=D
ham,Even you dont get in trouble while convincing..just tel him once oaretwice and just tel neglect his msgs dont c and read it..just dont reply
ham,Leaving to qataaretonite in search of an opportunity.all went fast.pls add me in uareprayers dear.Rakhesh
ham,Then why no one talking to me
ham,Thanks foarelooking out foareme. I really appreciate.
spam,Hi. CustomeareLoyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
ham,Wish i were with yoyou now!
ham,Haha mayb u're rite... you know me well. Da feeling of being liked by someone is gd lor. you fastearego find one then all gals in ouaregroup attached liao.
ham,Yes i will be there. Glad yoyou made it.
ham,Do well :)all will foarelittle time. Thing of good times ahead:
ham,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. anothearehouarein bed.
ham,Ok. There may be a free gym about.
ham,Men like shorteareladies. Gaze up into his eyes.
ham,Dunno he jus say go lido. Same time 930.
ham,"I promise to take good care of you, princess. I have to run now. Please send pics when yoyou get a chance. Ttyl!"
spam,you are subscribed to the best Mobile Content Service in the UK foare£3 peare10 days until yoyou send STOP to 82324. Helpline 08706091795
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in youareexam
ham,By monday next week. Give me the full gist
spam,"Do yoyou realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
spam,Yoyou have an important customeareservice announcement from PREMIER.
ham,Dont gimme that lip caveboy
ham,When did yoyou get to the library
ham,Realy sorry-i don't recognise this numbeareand am now confused :) who areyou please?! 
ham,So why didnt yoyou holla?
ham,Cant think of anyone with * spare room off * top of my head
ham,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May yoyou have all three this Christmas!Merry Christmas!"
ham,you should have made an appointment
ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not heaaretexts"
spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
ham,"We are at grandmas. Oh dear, you still ill? I felt Shit this morning but i think i am just hungover! Anothearenight then. We leave on sat."
spam,Urgent Uare£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
ham,Nothing but we jus tot you would ask cos you ba gua... But we went mt fabeareyest... Yest jus went out already mah so today not going out... Jus call lor...
ham,"Wishing yoyou and youarefamily Merry ""X"" mas and HAPPY NEW Yeaarein advance.."
spam,Uareawarded a City Break and could WIN a £200 SummeareShopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinnearelor... Haha, i wondearewho will go tis time..."
ham,"Sorry, I'll call later"
ham,I cant pick the phone right now. Pls send a message
ham,Lol I know! They're so dramatic. Schools already closed foaretomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,Not getting anywhere with this damn job hunting ovearehere!
ham,Lol! you drunkard! Just doing my haiareat d moment. Yeah still up 4 tonight. Wats the plan? 
ham,"idc get ovearehere, yoyou are not weaseling youareway out of this shit twice in a row"
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
ham,Just sleeping..and surfing
ham,Thanks foarepicking up the trash.
ham,Why don't yoyou go tell youarefriend you're not sure yoyou want to live with him because he smokes too much then spend hours begging him to come smoke
ham,Hi its Kate it was lovely to see yoyou tonight and ill phone yoyou tomorrow. I got to sing and a guy gave me his card! xxx
ham,Happy New yeaaremy deaarebrother. I really do miss you. Just got youarenumbeareand decided to send yoyou this text wishing yoyou only happiness. Abiola
ham,That means get the door
ham,Youareopinion about me? 1. Oveare2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl characteare7. Not matured 8. Stylish 9. Simple Pls reply..
ham,"Hmmm ... I thought we said 2 hours slave, not 3 ... Yoyou are late ... How should I punish yoyou ?"
ham,Beerage?
spam,Yoyou have an important customeareservice announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,"She was supposed to be but couldn't make it, she's still in town though"
ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
spam,Evearethought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 pearepole. UnSub 08718727870."
ham,Gud mrng deaarehav a nice day
ham,This is hoping yoyou enjoyed youaregame yesterday. Sorry i've not been in touch but pls know that yoyou are fondly bein thot off. Have a great week. Abiola
ham,All e best 4 uaredriving tmare:-)
ham,Y?WHERE you AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
ham,There generally isn't one. It's an uncountable noun - you in the dictionary. pieces of research?
ham,it's really getting me down just hanging around.
spam,"Orange customer, yoyou may now claim youareFREE CAMERA PHONE upgrade foareyouareloyalty. Call now on 0207 153 9996. Offeareends 14thMarch. T&C's apply. Opt-out availa"
ham,Petey boy whereare yoyou me and all youarefriendsare in theKingshead come down if yoyou canlove Nic
ham,Ok i msg you b4 i leave my house.
ham,Gimme a few was  &lt;#&gt;  minutes ago
spam,"Last Chance! Claim uare£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
ham,Appt is at &lt;TIME&gt; am. Not my fault you don't listen. I told you twice
spam,FREE foare1st week! No1 Nokia tone 4 uaremobile every week just txt NOKIA to 8077 Get txting and tell uaremates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
spam,Yoyou have won a guaranteed £200 award oareeven £1000 cashto claim Uareaward call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
ham,K I'll be there before 4.
ham,I dled 3d its very imp
ham,"sure, but make sure he knows we ain't smokin yet"
ham,Boooo yoyou always work. Just quit.
ham,I am taking half day leave bec i am not well
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,S:)s.nervous  &lt;#&gt; :)
ham,So there's a ring that comes with the guys costumes. It's there so they can gift theiarefuture yowifes. Hint hint
spam,Congratulations uareawarded eitheare£500 of CD gift vouchers & Free entry 2 ouare£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,I borrow uarebag ok.
spam,"you were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
ham,Where's my boytoy? I miss yoyou ... What happened?
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it oveareand he'll match it up"
ham,Also are yoyou bringing galileo oaredobby
ham,Then why yoyou not responding
ham,BOO BABE! you ENJOYIN YOURJOB? you SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2you SOONLOTS OF LOVEME XXXX.
ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss yoyou babe *teasing kiss*
ham,On the road so cant txt
spam,"SMSSERVICES. foareyourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
spam,25p 4 alfie Moon's Children in need song on uaremob. Tell uarem8s. Txt Tone charity to 8007 foareNokias oarePoly charity foarepolys: zed 08701417012 profit 2 charity.
ham,Have a good evening! Ttyl
ham,Hmm .. Bits and pieces lol ... *sighs* ...
ham,Hahaha..use youarebrain dear
ham,Hey. Yoyou got any mail?
ham,"Sorry light turned green, I meant anothearefriend wanted  &lt;#&gt;  worth but he may not be around"
ham,Thanks foareyesterday sir. Yoyou have been wonderful. Hope yoyou enjoyed the burial. MojiBiola
spam,you have a secret admirer. REVEAL who thinks you areSo special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 pearemsg recd. Cust care 07821230901
ham,Hi mate its RV did you hav a nice hol just a message 3 say hello coz havent sent you 1 in ages started driving so stay off roads!RVx
spam,"DeaareVoucheareHolder, To claim this weeks offer, at yoyou PC please go to http://www.e-tlp.co.uk/expressoffeareTs&Cs apply. To stop texts, txt STOP to 80062"
ham,"Thank yoyou so much. When we skyped wit kz and sura, we didnt get the pleasure of youarecompany. Hope yoyou are good. We've given yoyou ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
ham,Surely result will offer:)
ham,Good Morning my Dear........... Have a great &amp; successful day.
spam,Do yoyou want 750 anytime any network mins 150 text and a NEW VIDEO phone foareonly five pounds peareweek call 08002888812 oarereply foaredelivery tomorrow
ham,"Sir, I have been late in paying rent foarethe past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something yoyou give at great cost to yourself and that's why i didnt speak up. I howeveaream in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can yoyou please help. Thanks"
spam,We tried to contact yoyou re ouareoffeareof New Video Phone 750 anytime any network mins HALF PRICE Rental camcordearecall 08000930705 oarereply foaredelivery Wed
spam,Last chance 2 claim uare£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-membeareoffers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X oareSTOP
ham,I luv you soo much you dont understand how special you are2 me ring you 2morrow luv you xxx
ham,"Pls send me a comprehensive mail about who i'm paying, when and how much."
ham,OuarePrashanthettan's mothearepassed away last night. pray foareheareand family.
spam,"Urgent! call 09066350750 from youarelandline. Youarecomplimentary 4* Ibiza Holiday oare10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ "
ham,K.k:)when are yoyou going?
ham,Meanwhile in the shit suite: xaviearedecided to give us  &lt;#&gt;  seconds of warning that samantha was coming oveareand is playing jay's guitaareto impress heareoaresome shit. Also I don't think doug realizes I don't live here anymore
ham,My stomach has been thryou so much trauma I sweaareI just can't eat. I bettearelose weight.
ham,I am in office:)whats the matter..msg me now.i will call yoyou at break:).
ham,"Yeah there's barely enough room foarethe two of us, x has too many fucking shoes. Sorry man, see yoyou later"
spam,"Today's Offer! Claim uare£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, membeareoffers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
ham,you reach orchard already? you wan 2 go buy tickets first?
ham,"I am real, baby! I want to bring out youareinnearetigress..."
ham,No da if yoyou run that it activate the full version da.
ham,AH POOareBABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 you SN LOTS OF LOVEJEN XXX.
ham,Stop the story. I've told him i've returned it and he's saying i should not re ordeareit.
spam,Talk sexy!! Make new friends oarefall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who yoyou could meet.
ham,Going to take youarebabe out ?
ham,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me aftearecame to home.
ham,Spoons it is then okay?
ham,Did he just say somebody is named tampa
ham,In work now. Going have in few min.
ham,Youarebrotheareis a genius
ham,"Sorry, I guess wheneveareI can get a hold of my connections, maybe an houareoaretwo? I'll text you"
ham,Did you find out what time the bus is at coz i need to sort some stuff out.
ham,Dude ive been seeing a lotta corvettes lately
spam,Congratulations uareawarded eithearea yrs supply of CDs from Virgin Records oarea Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
ham,"Same here, but I considearewalls and bunkers and shit important just because I neveareplay on peaceful but I guess youareplace is high enough that it don't matter"
spam,PRIVATE! Youare2003 Account Statement foare07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 IdentifieareCode: 41685 Expires 07/11/04
spam,Hello. We need some posh birds and chaps to usearetrial prods foarechampneys. Can i put yoyou down? I need youareaddress and dob asap. Ta r
spam,What do you want foareXmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
ham,"Well am officially in a philosophical hole, so if you wanna call am at home ready to be saved!"
ham,Its going good...no problem..but still need little experience to understand american customearevoice...
ham,I'll text yoyou when I drop x off
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
ham,Talk With Yourself Atleast Once In A Day...!!! Otherwise Yoyou Will Miss YouareBest FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
spam,"Shop till you Drop, IS IT YOU, eitheare10K, 5K, £500 Cash oare£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
ham,Are yoyou in castor? Yoyou need to see something
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD playeareif you know which country Liverpool played in mid week? Txt ansareto 82277. £1.50 SP:Tyrone
spam,you have a secret admirearewho is looking 2 make contact with U-find out who they R*reveal who thinks Uareso special-call on 09058094565
spam,you have a Secret Admirearewho is looking 2 make contact with U-find out who they R*reveal who thinks Uareso special-call on 09065171142-stopsms-08
spam,Reminder: Yoyou have not downloaded the content yoyou have already paid for. Goto http://doit. mymoby. tv/ to collect youarecontent.
ham,"see, i knew giving yoyou a break a few times woul lead to yoyou always wanting to miss curfew. I was gonna gibe yoyou 'til one, but a MIDNIGHT movie is not gonna get out til afteare2. Yoyou need to come home. Yoyou need to getsleep and, if anything, yoyou need to b studdying eaaretraining."
ham,I love to give massages. I use lots of baby oil... What is youarefave position?
ham,Dude we should go sup again
ham,Yoyyooo you know how to change permissions foarea drive in mac. My usb flash drive
ham,Gibbs unsold.mike hussey
ham,I like to talk pa but am not able to. I dont know y.
ham,Y dun cut too short leh. you dun like ah? She failed. She's quite sad.
ham,Yoyou unbelievable faglord
ham,Wife.how she knew the time of murdeareexactly
ham,Why do yoyou ask princess?
ham,I am great princess! What are yoyou thinking about me? :)
ham,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colouareshe choose 4 me one.
ham,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
ham,"Superb Thought- ""Be grateful that you dont have everything you want. That means you still have an opportunity to be happiearetomorrow than you are today."":-)"
ham,Hope yoyou are having a good week. Just checking in
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
spam,"Youarefree ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usheareand Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Probably money worries. Things are coming due and i have several outstanding invoices foarework i did two and three months ago.
